@relation sentiment_with_arg4

@attribute s1 real
@attribute s2 real
@attribute s3 {P, N, O}
@attribute s4 {P, N, O}
@attribute s5 {P, N, O}
@attribute human {P, N, O}



@data
1.0,3.0,P,P,O,P
1.0,1.25,P,P,O,N
1.0,2.5,P,P,O,P
1,2.5,N,P,O,P
1.0,4.4,P,P,O,P
1.0,0.25,P,N,O,P
1.0,1.41,P,P,O,P
0,2.5,N,P,O,P
1,2.5,N,P,O,P
1,2.5,N,P,O,P
1,2.5,N,P,O,P
1.0,0.833333333333,P,N,O,P
0,3.8,N,P,O,P
1,3.6,N,P,O,P
1.0,2.5,P,N,O,P
1,2.5,N,P,O,P
1,0.078,O,O,O,P
1.0,2.5,P,P,O,P
1.0,2.5,P,O,O,P
1.0,2.8725,P,P,P,P
1.0,2.5,P,P,O,N
1.0,1.79666666667,P,P,O,P
1.0,2.5,P,P,O,P
1.0,2.5,P,P,O,O
1.0,2.5,P,P,O,P
0,-2.5,P,P,O,P
1.0,3.7,P,P,O,P
1.0,3.7,P,N,O,P
1.0,3.7,P,P,O,P
1.0,3.7,P,N,O,P
1.0,3.65,P,N,O,P
1.0,2.5,P,P,P,P
1,2.5,N,P,O,P
1,2.5,N,P,O,P
1.0,2.5,P,P,O,P
1,2.5,N,P,O,P
1.0,3.475,P,P,O,P
1.0,3.15,P,P,O,P
1.0,3.8,P,P,O,P
1.0,2.75,P,P,O,P
1.0,2.5,P,P,O,P
-2,-1.25,O,O,O,N
-2,-1.25,O,O,O,N
-2,-1.25,O,O,O,N
1,2.5,N,P,O,P
1,2.5,N,P,O,P
1.0,2.5,P,O,O,P
1.0,2.5,P,P,O,P
1.0,1.73,P,P,O,P
1.0,2.5,P,P,O,P
1.0,0.833333333333,P,P,O,P
1,2.5,N,P,O,P
1.0,2.5,P,P,O,P
-1.0,-1.5,N,N,O,N
1.0,1.25,P,P,O,P
1,0.833333333333,N,P,O,P
1.0,1.25,P,P,O,P
1.0,1.25,P,P,O,P
1.0,2.75,P,P,O,P
1.0,2.75,P,P,O,P
1.0,2.75,P,P,O,P
1.0,2.75,P,P,O,P
1.0,3.8,P,P,O,N
1.0,3.0,P,O,O,P
0,2.5,N,P,O,P
1.0,3.0,P,P,O,P
1.0,2.5,P,P,O,P
1.0,2.5,P,P,O,P
1.0,3.15,P,P,O,P
1,2.5,N,P,O,P
1.0,3.15,P,P,O,P
1,2.5,N,P,O,P
1.0,2.5,P,P,O,P
1.0,2.5,P,P,O,N
1.0,2.5,P,P,O,P
1,2.5,N,P,O,P
1,2.5,N,P,O,P
1.0,3.1,P,P,O,P
1.0,1.26666666667,P,N,O,O
1.0,3.0,P,O,O,P
1,2.5,N,P,O,P
1.0,2.5,P,P,O,N
1.0,2.4625,P,P,P,P
1.0,2.66666666667,P,P,O,P
1.0,2.5,P,P,O,P
1.0,0.25,P,O,O,N
1,2.5,N,P,O,P
1,2.5,N,P,O,P
1,2.5,N,P,O,P
1,2.5,N,P,O,P
1,2.5,N,P,O,P
0,-1.25,O,N,O,O
1,2.5,N,P,O,P
1,2.5,N,P,O,P
1,2.5,N,P,P,P
1.0,2.5,P,P,O,P
1.0,2.75,P,P,P,P
1,4.4,N,P,O,P
2,2.5,N,P,O,O
1.0,1.26666666667,P,P,O,N
1.0,2.5,P,P,P,P
1.0,4.4,P,P,O,P
1,2.5,N,P,O,P
1.0,1.0,P,O,O,P
1,4.8,N,P,O,P
3,3.26666666667,N,P,O,P
1,2.5,N,P,O,P
1,2.5,N,P,P,P
-1,-2.5,O,N,O,N
0,0,N,P,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,O,O,O,O
0,0,N,P,O,O
0,0,O,O,O,O
0,0,O,P,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,N,P,O,O
0,0.0,O,P,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,N,P,O,O
0,0,N,O,O,O
0,0,N,P,O,O
1.0,3.0,P,O,O,P
0,-2.5,O,O,O,O
0,0,O,O,O,O
0,0,N,P,O,O
0,0.833333333333,N,P,O,P
0,0,N,P,O,O
0,0,N,P,O,O
0,0,O,N,O,O
0,0.0,O,O,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,O,P,O,O
0,0,O,O,O,O
0,0,N,O,O,O
0,0,N,P,O,O
0,0,N,O,O,O
1,0,O,O,O,O
0,0,N,P,O,O
0,0,O,O,O,O
0,0,O,P,O,O
0,0,O,O,O,O
0,0,O,P,O,O
0,0,N,P,O,O
0,0,N,O,O,O
0,0,O,O,O,O
0,0,O,P,O,O
0,0,O,O,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,O,O,O,O
0,0,O,P,O,O
0,0,O,P,O,O
0,0,O,P,O,O
0,0,O,P,O,O
0,0,N,P,O,O
0,0,O,P,O,O
0,0,O,O,O,O
0,0,O,O,O,O
-1.0,-0.25,N,P,O,O
-1.0,-0.25,N,P,O,O
0,0,O,O,O,O
1,0.95,O,P,O,P
0,0,O,O,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,O,O,O,O
0,0.39,N,P,O,O
0,0,N,P,O,O
1,0,N,P,O,O
-1.0,-2.5,N,P,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,N,P,O,O
0,0,N,O,O,O
0,0,N,P,O,O
0,0,O,O,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,O,O,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0.0,N,N,O,O
0,0.44,N,P,O,O
0,0,N,P,O,O
0,0.65,O,N,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,O,O,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,O,O,O,O
0,0.39,O,O,O,O
0,0,O,O,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,O,O,O,O
0,0,O,P,O,O
0,0,O,O,O,O
0,0,N,P,O,O
0,0,O,N,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,O,N,O,O
0,0,O,O,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,N,P,O,O
0,0,O,O,O,O
0,0,O,P,O,O
0,0,O,O,O,O
0,0.0,O,O,O,O
0,0.0,P,P,O,O
0,1.26666666667,N,P,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,2.5,O,N,O,O
0,0,O,O,O,O
0,0,N,P,O,O
0,0,O,P,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,N,O,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,N,P,O,O
0,0,O,O,O,O
0,0.0,O,O,O,O
0,0,N,P,O,O
0,0,O,N,O,O
0,0,O,O,O,O
0,0,N,P,O,O
0,0,O,O,O,O
0,0,N,P,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,N,P,O,O
0,0,O,O,O,O
0,0.0,O,O,O,O
0,0,O,O,O,O
0,0,N,P,O,O
0,0.0,N,P,O,O
0,0,N,O,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,N,P,O,O
1.0,0.25,P,P,O,O
2,0.0,N,P,P,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0.0,O,P,O,O
0,0,N,O,O,O
0,0,N,P,O,O
0,0,O,O,O,O
0,0,O,O,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,N,P,O,O
2,0.0,N,P,P,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,N,P,O,O
0,0,N,N,O,O
0,0,N,N,O,O
0,0,O,O,O,O
0,0.0,O,O,O,O
0,0,N,P,O,O
-1,-2.5,P,O,O,N
-1.0,-2.5,N,N,O,N
-1.0,-2.5,N,O,O,N
-1.0,-2.5,N,O,O,N
-1.0,-2.5,N,O,O,N
-1.0,-2.5,N,O,O,N
-1.0,-1.155,N,O,O,N
-1.0,-2.5,N,N,O,N
-1.0,-2.5,N,N,O,N
-1.0,-2.5,N,O,N,N
-1.0,-2.5,N,O,N,N
-1.0,-2.5,N,N,O,N
1,2.5,N,O,O,P
-1.0,-2.5,N,N,O,N
-1.0,-2.5,N,N,O,N
-1.0,-0.833333333333,N,N,O,N
-2,-1.125,P,N,O,N
1,2.5,N,O,O,N
-1.0,-1.5,N,N,O,N
-1.0,-2.5,N,N,O,N
-1.0,-0.25,N,P,O,P
-1.0,-3.0,N,P,O,P
-2,-0.666666666667,P,N,O,N
-1.0,-2.5,N,P,O,N
-1.0,-3.0,N,O,O,N
-1.0,-2.5,N,N,O,N
-1.0,-0.25,N,P,O,P
-1.0,-1.16666666667,N,P,O,P
-1.0,-2.5,N,P,O,N
-1.0,-2.5,N,N,O,N
-1.0,-3.0,N,O,O,N
-1.0,-3.0,N,P,O,N
-1.0,-3.0,N,P,O,N
-1.0,-2.5,N,N,O,N
-1.0,-2.5,N,O,O,N
-1,-2.5,O,O,O,N
-1.0,-2.5,N,N,N,N
-1.0,-0.833333333333,N,N,O,N
-1,-1.055,P,P,O,N
-1.0,-2.5,N,N,O,N
-1.0,-2.5,N,O,O,N
-1.0,-2.5,N,P,N,N
-1.0,-2.5,N,N,O,N
-1.0,-0.833333333333,N,N,O,N
-1.0,-0.91,N,N,O,N
-1.0,-0.833333333333,N,N,O,N
-1.0,-1.03,N,N,O,N
-1.0,-2.5,N,P,O,N
-1.0,-2.5,N,N,O,N
-1.0,-2.5,N,N,O,N
-1.0,-2.5,N,N,O,N
-1,-1.07,P,P,O,N
-1.0,-2.5,N,N,O,N
-1.0,-2.5,N,N,O,N
-1.0,-1.5,N,N,O,N
-1.0,-1.25,N,N,N,N
-1.0,-2.5,N,O,N,N
-1.0,-2.5,N,N,O,N
-1.0,-0.833333333333,N,P,O,N
1.0,1.9,P,P,P,N
2,0,O,P,O,N
0,0.0,O,O,O,N
-1,0.0,N,O,O,N
-1.0,-2.5,N,N,O,N
-1.0,-2.5,N,O,O,N
-1.0,-0.4,N,N,O,N
-1.0,-2.5,N,N,O,N
-1.0,-2.5,N,N,O,N
-1.0,-2.5,N,O,O,N
-1.0,-2.5,N,N,O,N
-1.0,-2.5,N,N,O,N
-1.0,-2.5,N,N,N,N
-1.0,-2.5,N,O,O,N
-1.0,-1.25,N,N,O,N
